Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Question Context
Colombia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,60 plus,5,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,35,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,21,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,29,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,15,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,30,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Côte d'Ivoire,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,2,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,21,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,36,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,24,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,12,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,22,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,39,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,21,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,8,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Dominican Republic (the),"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,41,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,19,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,27,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,43,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,17,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,26,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Democratic Republic of the Congo,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,2,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,25,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,44,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,23,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,32,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,17,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,5,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ecuador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,65,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,22,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,9,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,67,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,18,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,5,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,8,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Egypt,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,2,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,20,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,43,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,19,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,14,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,5,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,20,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,48,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,17,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,9,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
El Salvador,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,40,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,41,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,15,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,2,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,39,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Ethiopia,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,46,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,17,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,30,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,43,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,22,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,26,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Fiji,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,32,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,12,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,37,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,39,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,11,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,60 plus,31,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,60 plus,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,60 plus,17,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,60 plus,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
France,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,60 plus,4,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,31,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,53,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,12,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,31,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,40,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,36 to 59,18,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,36 to 59,9,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,36 to 59,2,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,60 plus,34,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Germany,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,60 plus,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
